iShares Russell 3000 ETF
Fund Holdings as of,"Nov 09, 2021"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DXCM","DEXCOM INC","Health Care","Equity","16,270,894.05","0.13","16,270,894.05","25,541.00","637.05","United States","NASDAQ","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","16,202,977.56","0.13","16,202,977.56","64,947.00","249.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","16,178,599.47","0.13","16,178,599.47","378,093.00","42.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEAM","ATLASSIAN PLC CLASS A","Information Technology","Equity","16,090,900.00","0.13","16,090,900.00","36,200.00","444.50","United States","NASDAQ","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","15,915,073.68","0.13","15,915,073.68","213,396.00","74.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","15,867,586.42","0.12","15,867,586.42","217,543.00","72.94","United States","NASDAQ","USD","1.00","USD","-"
"FISV","FISERV INC","Information Technology","Equity","15,777,018.64","0.12","15,777,018.64","158,372.00","99.62","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","15,564,793.65","0.12","15,564,793.65","70,413.00","221.05","United States","NASDAQ","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","15,448,720.00","0.12","15,448,720.00","34,300.00","450.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","15,424,305.00","0.12","15,424,305.00","158,198.00","97.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","15,345,627.56","0.12","15,345,627.56","52,342.00","293.18","United States","NASDAQ","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","15,330,461.00","0.12","15,330,461.00","66,380.00","230.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","15,300,432.00","0.12","15,300,432.00","38,700.00","395.36","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","15,219,164.80","0.12","15,219,164.80","388,244.00","39.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","14,998,930.83","0.12","14,998,930.83","154,453.00","97.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALGN","ALIGN TECHNOLOGY INC","Health Care","Equity","14,826,900.06","0.12","14,826,900.06","20,853.00","711.02","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","14,737,289.10","0.12","14,737,289.10","154,398.00","95.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","14,642,891.12","0.12","14,642,891.12","49,894.00","293.48","United States","NASDAQ","USD","1.00","USD","-"
