Fund Holdings as of,"09/Nov/2021"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CCL","CARNIVAL PLC","Consumer Discretionary","Equity","2,608,702.20","0.64","2,608,702.20","161,031.00","16.20","United Kingdom","London Stock Exchange","GBP"
"HSV","HOMESERVE PLC","Industrials","Equity","2,551,046.40","0.62","2,551,046.40","306,432.00","8.32","United Kingdom","London Stock Exchange","GBP"
"VTY","VISTRY GROUP PLC","Consumer Discretionary","Equity","2,543,964.41","0.62","2,543,964.41","225,329.00","11.29","United Kingdom","London Stock Exchange","GBP"
"BYG","BIG YELLOW GROUP PLC","Real Estate","Equity","2,530,236.10","0.62","2,530,236.10","168,122.00","15.05","United Kingdom","London Stock Exchange","GBP"
"INVP","INVESTEC PLC","Financials","Equity","2,454,080.75","0.60","2,454,080.75","703,175.00","3.49","United Kingdom","London Stock Exchange","GBP"
"BEZ","BEAZLEY PLC","Financials","Equity","2,450,852.00","0.60","2,450,852.00","612,713.00","4.00","United Kingdom","London Stock Exchange","GBP"
"BVIC","BRITVIC PLC","Consumer Staples","Equity","2,405,367.04","0.59","2,405,367.04","271,333.00","8.87","United Kingdom","London Stock Exchange","GBP"
"PETS","PETS AT HOME PLC","Consumer Discretionary","Equity","2,383,737.73","0.58","2,383,737.73","503,323.00","4.74","United Kingdom","London Stock Exchange","GBP"
"CSP","COUNTRYSIDE PROP PLC","Consumer Discretionary","Equity","2,350,656.48","0.58","2,350,656.48","506,607.00","4.64","United Kingdom","London Stock Exchange","GBP"
"LMP","LONDONMETRIC PROPERTY REIT PLC","Real Estate","Equity","2,350,060.06","0.58","2,350,060.06","871,684.00","2.70","United Kingdom","London Stock Exchange","GBP"
"SCT","SOFTCAT PLC","Information Technology","Equity","2,347,935.66","0.58","2,347,935.66","120,222.00","19.53","United Kingdom","London Stock Exchange","GBP"
"ULE","ULTRA ELECTRONICS HOLDINGS PLC","Industrials","Equity","2,308,836.60","0.57","2,308,836.60","71,703.00","32.20","United Kingdom","London Stock Exchange","GBP"
"PTEC","PLAYTECH PLC","Consumer Discretionary","Equity","2,277,140.25","0.56","2,277,140.25","309,815.00","7.35","United Kingdom","London Stock Exchange","GBP"
"IWG","IWG","Real Estate","Equity","2,259,191.71","0.55","2,259,191.71","758,882.00","2.98","United Kingdom","London Stock Exchange","GBP"
"VMUK","VIRGIN MONEY UK PLC","Financials","Equity","2,255,397.14","0.55","2,255,397.14","1,314,334.00","1.72","United Kingdom","London Stock Exchange","GBP"
"ITM","ITM POWER PLC","Industrials","Equity","2,218,068.60","0.54","2,218,068.60","433,640.00","5.12","United Kingdom","London Stock Exchange","GBP"
"OSB","OSB GROUP PLC","Financials","Equity","2,194,354.69","0.54","2,194,354.69","451,142.00","4.86","United Kingdom","London Stock Exchange","GBP"
"DRX","DRAX GROUP PLC","Utilities","Equity","2,173,694.40","0.53","2,173,694.40","402,536.00","5.40","United Kingdom","London Stock Exchange","GBP"
"SFOR","S4 CAPITAL PLC","Communication","Equity","2,155,912.20","0.53","2,155,912.20","275,340.00","7.83","United Kingdom","London Stock Exchange","GBP"
"CBG","CLOSE BROS GROUP PLC","Financials","Equity","2,155,877.86","0.53","2,155,877.86","153,662.00","14.03","United Kingdom","London Stock Exchange","GBP"
"PAGE","PAGEGROUP PLC","Industrials","Equity","2,145,960.32","0.53","2,145,960.32","332,192.00","6.46","United Kingdom","London Stock Exchange","GBP"
"KWS","KEYWORDS STUDIOS PLC","Information Technology","Equity","2,144,335.54","0.53","2,144,335.54","72,887.00","29.42","United Kingdom","London Stock Exchange","GBP"
"SMWH","WH SMITH PLC","Consumer Discretionary","Equity","2,144,238.72","0.53","2,144,238.72","131,872.00","16.26","United Kingdom","London Stock Exchange","GBP"
"GRI","GRAINGER PLC","Real Estate","Equity","2,119,755.84","0.52","2,119,755.84","678,539.00","3.12","United Kingdom","London Stock Exchange","GBP"
"JET2","JET2 PLC","Industrials","Equity","2,106,220.32","0.52","2,106,220.32","162,517.00","12.96","United Kingdom","London Stock Exchange","GBP"
"VCT","VICTREX PLC","Materials","Equity","2,077,030.80","0.51","2,077,030.80","88,762.00","23.40","United Kingdom","London Stock Exchange","GBP"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","2,071,029.83","0.51","2,071,029.83","2,071,030.00","100.00","United Kingdom","-","GBP"
"SSPG","SSP GROUP PLC","Consumer Discretionary","Equity","2,061,852.97","0.51","2,061,852.97","763,084.00","2.70","United Kingdom","London Stock Exchange","GBP"
"PHP","PRIMARY HEALTH PROPERTIES REIT PLC","Real Estate","Equity","2,061,472.03","0.51","2,061,472.03","1,339,488.00","1.54","United Kingdom","London Stock Exchange","GBP"
"SVS","SAVILLS PLC","Real Estate","Equity","2,052,569.31","0.50","2,052,569.31","144,649.00","14.19","United Kingdom","London Stock Exchange","GBP"
"CCC","COMPUTACENTER PLC","Information Technology","Equity","2,025,675.00","0.50","2,025,675.00","75,025.00","27.00","United Kingdom","London Stock Exchange","GBP"
"BOO","BOOHOO GROUP","Consumer Discretionary","Equity","2,016,427.63","0.49","2,016,427.63","1,026,433.00","1.96","United Kingdom","London Stock Exchange","GBP"
"AGR","ASSURA REIT PLC","Real Estate","Equity","1,970,178.95","0.48","1,970,178.95","2,697,028.00","0.73","United Kingdom","London Stock Exchange","GBP"
"EZJ","EASYJET PLC","Industrials","Equity","1,933,146.82","0.47","1,933,146.82","306,654.00","6.30","United Kingdom","London Stock Exchange","GBP"
"INDV","INDIVIOR PLC","Health Care","Equity","1,924,877.60","0.47","1,924,877.60","738,633.00","2.61","United Kingdom","London Stock Exchange","GBP"
"RSW","RENISHAW PLC","Information Technology","Equity","1,898,757.30","0.47","1,898,757.30","36,762.00","51.65","United Kingdom","London Stock Exchange","GBP"
"CWK","CRANSWICK PLC","Consumer Staples","Equity","1,839,544.84","0.45","1,839,544.84","53,074.00","34.66","United Kingdom","London Stock Exchange","GBP"
"ASC","ASOS PLC","Consumer Discretionary","Equity","1,834,128.21","0.45","1,834,128.21","71,173.00","25.77","United Kingdom","London Stock Exchange","GBP"
"RWS","RWS HOLDINGS PLC","Industrials","Equity","1,774,617.48","0.43","1,774,617.48","295,032.00","6.01","United Kingdom","London Stock Exchange","GBP"
"SPT","SPIRENT COMMUNICATIONS","Information Technology","Equity","1,770,002.27","0.43","1,770,002.27","619,315.00","2.86","United Kingdom","London Stock Exchange","GBP"
"RDW","REDROW PLC","Consumer Discretionary","Equity","1,767,653.08","0.43","1,767,653.08","284,463.00","6.21","United Kingdom","London Stock Exchange","GBP"
"DOCS","DR. MARTENS PLC","Consumer Discretionary","Equity","1,742,529.19","0.43","1,742,529.19","454,731.00","3.83","United Kingdom","London Stock Exchange","GBP"
"GPOR","GREAT PORTLAND ESTATES REIT PLC","Real Estate","Equity","1,733,002.50","0.42","1,733,002.50","231,067.00","7.50","United Kingdom","London Stock Exchange","GBP"
"SYNT","SYNTHOMER PLC","Materials","Equity","1,713,652.86","0.42","1,713,652.86","344,107.00","4.98","United Kingdom","London Stock Exchange","GBP"
"ASCL","ASCENTIAL PLC","Communication","Equity","1,694,950.49","0.42","1,694,950.49","407,636.00","4.16","United Kingdom","London Stock Exchange","GBP"
"CVSG","CVS GROUP PLC","Health Care","Equity","1,686,168.00","0.41","1,686,168.00","68,128.00","24.75","United Kingdom","London Stock Exchange","GBP"
"GBG","GB GROUP PLC","Information Technology","Equity","1,654,003.06","0.41","1,654,003.06","189,137.00","8.74","United Kingdom","London Stock Exchange","GBP"
"BBY","BALFOUR BEATTY PLC","Industrials","Equity","1,651,620.48","0.40","1,651,620.48","665,976.00","2.48","United Kingdom","London Stock Exchange","GBP"
"IHP","INTEGRAFIN HOLDINGS","Financials","Equity","1,648,594.35","0.40","1,648,594.35","281,811.00","5.85","United Kingdom","London Stock Exchange","GBP"
"KNOS","KAINOS GROUP PLC","Information Technology","Equity","1,636,022.52","0.40","1,636,022.52","79,962.00","20.46","United Kingdom","London Stock Exchange","GBP"
"DNLM","DUNELM GROUP PLC","Consumer Discretionary","Equity","1,633,459.62","0.40","1,633,459.62","123,187.00","13.26","United Kingdom","London Stock Exchange","GBP"
"DOM","DOMINOS PIZZA GROUP PLC","Consumer Discretionary","Equity","1,633,435.73","0.40","1,633,435.73","418,615.00","3.90","United Kingdom","London Stock Exchange","GBP"
"BOY","BODYCOTE PLC","Industrials","Equity","1,620,393.77","0.40","1,620,393.77","193,943.00","8.36","United Kingdom","London Stock Exchange","GBP"
"GEN","GENUIT GROUP PLC","Industrials","Equity","1,600,413.84","0.39","1,600,413.84","250,456.00","6.39","United Kingdom","London Stock Exchange","GBP"
"TRN","TRAINLINE PLC","Consumer Discretionary","Equity","1,574,220.25","0.39","1,574,220.25","487,979.00","3.23","United Kingdom","London Stock Exchange","GBP"
"QQ.","QINETIQ GROUP PLC","Industrials","Equity","1,569,135.16","0.38","1,569,135.16","580,731.00","2.70","United Kingdom","London Stock Exchange","GBP"
"BUR","BURFORD CAPITAL LTD","Financials","Equity","1,545,230.16","0.38","1,545,230.16","186,622.00","8.28","United Kingdom","London Stock Exchange","GBP"
"SRP","SERCO GROUP PLC","Industrials","Equity","1,525,467.01","0.37","1,525,467.01","1,209,728.00","1.26","United Kingdom","London Stock Exchange","GBP"
"GAMA","GAMMA COMMUNICATIONS PLC","Communication","Equity","1,520,317.08","0.37","1,520,317.08","82,002.00","18.54","United Kingdom","London Stock Exchange","GBP"
"CURY","CURRYS PLC","Consumer Discretionary","Equity","1,518,805.35","0.37","1,518,805.35","1,125,041.00","1.35","United Kingdom","London Stock Exchange","GBP"
"BREE","BREEDON GROUP PLC","Materials","Equity","1,511,035.54","0.37","1,511,035.54","1,541,873.00","0.98","United Kingdom","London Stock Exchange","GBP"
